,currentConfirmedCount,curedCount,deadCount
2022-01-01,5593,120817,5699
2022-01-02,5741,120884,5699
2022-01-03,5869,120936,5699
2022-01-04,6054,120987,5699
2022-01-05,6107,121052,5699
2022-01-06,6163,121252,5699
2022-01-07,6313,121354,5699
2022-01-08,6380,121505,5699
2022-01-09,6478,121653,5699
2022-01-10,6531,121839,5699
2022-01-11,6694,121989,5699
2022-01-12,6737,122200,5699
2022-01-13,6786,122418,5699
2022-01-14,6846,122659,5700
2022-01-15,6931,122816,5700
2022-01-16,6971,122952,5700
2022-01-17,7046,123169,5700
2022-01-18,7135,123327,5700
2022-01-19,7082,123520,5700
2022-01-20,6950,123771,5700
2022-01-21,6908,123989,5700
2022-01-22,6904,124185,5700
2022-01-23,6834,124409,5700
2022-01-24,6787,124663,5700
2022-01-25,6728,124876,5700
2022-01-26,6742,125070,5700
2022-01-27,6740,125290,5700
2022-01-28,6871,125479,5700
2022-01-29,6825,125702,5700
2022-01-30,6843,125904,5700
2022-01-31,6847,126074,5700
2022-02-01,6900,126220,5700
2022-02-02,6922,126391,5700
2022-02-03,6979,126511,5700
2022-02-04,7031,126662,5700
2022-02-05,7185,126827,5700
2022-02-06,7368,127002,5700
2022-02-07,7476,127234,5700
2022-02-08,7701,127468,5700
2022-02-09,7844,127639,5700
2022-02-10,8391,127856,5702
2022-02-11,8359,128320,5703
2022-02-12,8699,128649,5703
2022-02-13,8688,128901,5706
2022-02-14,9088,128984,5706
2022-02-15,9986,129644,5708
2022-02-16,10436,129958,5712
2022-02-17,11043,130287,5715
2022-02-18,11355,130585,5726
2022-02-19,12618,130914,5746
2022-02-20,12935,131233,5764
2022-02-21,13176,131502,5776
2022-02-22,16642,131814,5788
2022-02-23,19147,132159,5824
2022-02-24,22901,132482,5873
2022-02-25,25320,132807,5913
2022-02-26,29066,133169,5986
2022-02-27,34381,133544,6066
2022-02-28,58550,133993,6148
2022-03-01,69266,134764,6233
2022-03-02,86638,135431,6479
2022-03-03,106326,136140,6657
2022-03-04,125559,136788,6855
2022-03-05,156486,137402,7043
2022-03-06,173755,138250,7263
2022-03-07,191981,139056,7496
2022-03-08,197318,139554,7776
2022-03-09,211159,140513,8067
2022-03-10,222403,141446,8358
2022-03-11,229215,142466,8639
2022-03-12,233632,143494,8933
2022-03-13,237938,144623,9218
2022-03-14,242793,145499,9482
2022-03-15,249608,146023,9768
2022-03-16,253777,147084,10057
2022-03-17,256846,148389,10336
2022-03-18,259746,149838,10625
2022-03-19,262006,151526,10892
2022-03-20,263880,153047,11141
2022-03-21,265469,154514,11387
2022-03-22,267819,155494,11610
2022-03-23,269457,157432,11855
